,размер,ткань,цвет,рукав,спрос
180,L,нейлон,жёлтый,короткий,высокий
181,L,хлопок,кремовый,короткий,высокий
182,XS,полиэстр,голубой,короткий,высокий
183,3XL,лён,синий,длинный,средний
184,M,полиэстр,жёлтый,длинный,средний
185,L,нейлон,синий,короткий,высокий
186,M,нейлон,зелёный,длинный,средний
187,XL,хлопок,синий,короткий,высокий
188,XL,лён,жёлтый,длинный,средний
189,M,лён,синий,длинный,высокий
190,M,лён,чёрный,длинный,средний
191,M,хлопок,чёрный,длинный,средний
192,3XL,хлопок,красный,короткий,средний
193,XL,полиэстр,оранжевый,короткий,высокий
194,S,нейлон,зелёный,длинный,высокий
195,L,полиэстр,голубой,короткий,высокий
196,XL,полиэстр,синий,короткий,высокий
197,XL,нейлон,белый,длинный,низкий
198,L,хлопок,синий,короткий,высокий
199,XL,нейлон,белый,длинный,низкий
200,M,полиэстр,белый,короткий,средний
201,XS,нейлон,чёрный,длинный,средний
202,XXL,хлопок,голубой,короткий,высокий
203,XL,полиэстр,красный,короткий,высокий
204,S,лён,чёрный,короткий,средний
205,L,хлопок,чёрный,короткий,средний
206,L,лён,голубой,короткий,высокий
207,XL,лён,красный,короткий,высокий
208,3XL,нейлон,чёрный,длинный,средний
209,L,хлопок,голубой,длинный,средний
210,L,хлопок,красный,короткий,высокий
211,XL,полиэстр,кремовый,короткий,высокий
212,XL,хлопок,белый,короткий,средний
213,XXL,лён,белый,длинный,средний
214,XL,нейлон,красный,длинный,средний
215,XXL,нейлон,фиолетовый,короткий,высокий
216,L,полиэстр,синий,короткий,высокий
217,XXL,лён,синий,длинный,высокий
218,XL,лён,жёлтый,короткий,высокий
219,L,полиэстр,зелёный,длинный,средний
220,XXL,лён,синий,длинный,высокий
221,L,полиэстр,чёрный,короткий,высокий
222,M,нейлон,жёлтый,короткий,высокий
223,L,шёлк,кремовый,длинный,низкий
224,XXL,нейлон,оранжевый,длинный,средний
225,XL,нейлон,чёрный,короткий,средний
226,XL,лён,красный,длинный,высокий
227,3XL,лён,чёрный,короткий,низкий
228,XS,полиэстр,зелёный,короткий,высокий
229,3XL,шёлк,белый,короткий,низкий
230,3XL,хлопок,фиолетовый,длинный,низкий
231,XXL,лён,белый,короткий,средний
232,3XL,нейлон,чёрный,короткий,средний
233,XXL,лён,жёлтый,короткий,высокий
234,M,хлопок,красный,короткий,высокий
235,XXL,лён,чёрный,короткий,средний
236,XL,нейлон,кремовый,короткий,высокий
237,S,нейлон,жёлтый,длинный,высокий
238,L,нейлон,красный,длинный,средний
239,XS,шёлк,синий,короткий,средний
240,XXL,нейлон,оранжевый,короткий,высокий
241,L,хлопок,голубой,короткий,высокий
242,XS,хлопок,фиолетовый,короткий,высокий
243,XL,хлопок,красный,короткий,высокий
244,XS,полиэстр,чёрный,короткий,средний
245,XXL,нейлон,белый,короткий,низкий
246,XL,лён,кремовый,короткий,высокий
247,XL,хлопок,чёрный,короткий,средний
248,L,нейлон,чёрный,длинный,высокий
249,XXL,хлопок,кремовый,длинный,средний
250,XS,нейлон,кремовый,короткий,высокий
251,XXL,лён,зелёный,длинный,средний
252,S,полиэстр,жёлтый,короткий,высокий
253,XL,полиэстр,синий,длинный,средний
254,L,полиэстр,красный,короткий,высокий
255,XXL,хлопок,чёрный,длинный,средний
256,XL,полиэстр,чёрный,длинный,средний
257,3XL,лён,белый,короткий,средний
258,XXL,лён,оранжевый,короткий,высокий
259,XXL,хлопок,голубой,длинный,средний
260,XS,хлопок,жёлтый,длинный,средний
261,L,нейлон,голубой,короткий,высокий
262,S,лён,чёрный,короткий,средний
263,XL,лён,чёрный,короткий,средний
264,XXL,полиэстр,голубой,короткий,высокий
265,M,шёлк,кремовый,короткий,низкий
266,3XL,нейлон,кремовый,длинный,средний
267,L,хлопок,зелёный,короткий,высокий
268,XL,полиэстр,голубой,короткий,высокий
269,M,нейлон,кремовый,длинный,средний
270,L,лён,белый,длинный,высокий
271,XL,шёлк,белый,короткий,низкий
272,L,нейлон,фиолетовый,длинный,средний
273,S,лён,синий,короткий,высокий
274,XXL,полиэстр,жёлтый,длинный,средний
275,XL,нейлон,кремовый,длинный,средний
276,XL,лён,чёрный,короткий,средний
277,S,полиэстр,белый,длинный,средний
278,XL,полиэстр,белый,короткий,низкий
279,XS,нейлон,фиолетовый,короткий,высокий
280,XS,лён,красный,длинный,высокий
281,M,нейлон,синий,короткий,высокий
282,XL,полиэстр,синий,длинный,средний
283,S,полиэстр,жёлтый,короткий,высокий
284,S,полиэстр,фиолетовый,длинный,высокий
285,L,полиэстр,чёрный,длинный,высокий
286,S,нейлон,оранжевый,длинный,высокий
287,XL,нейлон,фиолетовый,длинный,средний
288,L,хлопок,голубой,короткий,высокий
289,XS,нейлон,красный,длинный,высокий
290,XL,полиэстр,жёлтый,длинный,средний
291,L,нейлон,кремовый,короткий,высокий
292,S,полиэстр,красный,длинный,высокий
293,XL,нейлон,белый,короткий,низкий
294,S,лён,синий,длинный,высокий
295,S,лён,фиолетовый,короткий,высокий
296,XS,хлопок,белый,короткий,высокий
297,M,нейлон,чёрный,короткий,средний
298,L,нейлон,жёлтый,длинный,средний
299,XL,нейлон,красный,длинный,средний
300,L,хлопок,белый,длинный,высокий
301,XS,нейлон,белый,длинный,средний
302,3XL,нейлон,голубой,короткий,высокий
303,L,лён,чёрный,длинный,средний
304,L,полиэстр,чёрный,длинный,высокий
305,XL,полиэстр,чёрный,длинный,средний
306,M,лён,белый,короткий,высокий
307,L,хлопок,зелёный,короткий,высокий
308,XS,полиэстр,белый,короткий,средний
309,XS,хлопок,белый,длинный,высокий
310,L,полиэстр,красный,короткий,высокий
311,XXL,нейлон,красный,короткий,высокий
312,L,шёлк,фиолетовый,короткий,низкий
313,M,хлопок,зелёный,короткий,высокий
314,S,лён,чёрный,короткий,средний
315,L,хлопок,фиолетовый,короткий,высокий
316,XS,шёлк,зелёный,длинный,низкий
317,M,нейлон,синий,длинный,средний
318,XXL,полиэстр,чёрный,короткий,средний
319,XL,полиэстр,голубой,короткий,высокий
320,XXL,шёлк,жёлтый,короткий,низкий
321,XL,полиэстр,оранжевый,короткий,высокий
322,XS,полиэстр,белый,длинный,средний
323,XXL,полиэстр,кремовый,короткий,высокий
324,XS,полиэстр,зелёный,короткий,высокий
325,L,полиэстр,чёрный,короткий,высокий
326,S,нейлон,жёлтый,короткий,высокий
327,S,полиэстр,синий,длинный,высокий
328,XXL,хлопок,красный,длинный,средний
329,XS,нейлон,красный,короткий,высокий
330,M,полиэстр,оранжевый,длинный,средний
331,XXL,шёлк,чёрный,длинный,низкий
332,XS,нейлон,жёлтый,короткий,высокий
333,XS,нейлон,чёрный,короткий,средний
334,S,полиэстр,белый,короткий,средний
335,XXL,лён,кремовый,короткий,высокий
336,XL,полиэстр,фиолетовый,короткий,высокий
337,L,нейлон,чёрный,короткий,высокий
338,XL,хлопок,чёрный,длинный,средний
339,S,нейлон,красный,длинный,высокий
340,XS,полиэстр,чёрный,короткий,средний
341,XS,полиэстр,оранжевый,короткий,высокий
342,S,нейлон,зелёный,длинный,высокий
343,S,нейлон,красный,короткий,высокий
344,L,хлопок,чёрный,короткий,средний
345,XL,лён,синий,короткий,высокий
346,XL,хлопок,кремовый,длинный,средний
347,M,хлопок,голубой,длинный,средний
348,XL,лён,белый,длинный,средний
349,S,шёлк,синий,короткий,средний
350,XS,полиэстр,оранжевый,длинный,средний
351,M,хлопок,красный,короткий,высокий
352,M,полиэстр,белый,короткий,средний
353,XXL,полиэстр,зелёный,длинный,низкий
354,XXL,хлопок,зелёный,короткий,средний
355,XL,хлопок,оранжевый,длинный,средний
356,XL,лён,белый,длинный,средний
357,L,хлопок,чёрный,длинный,средний
358,XL,хлопок,кремовый,короткий,высокий
359,XXL,нейлон,белый,длинный,низкий
360,L,полиэстр,синий,короткий,высокий
361,XS,полиэстр,кремовый,короткий,высокий
362,XXL,лён,кремовый,длинный,высокий
363,L,нейлон,кремовый,короткий,высокий
364,L,нейлон,белый,короткий,высокий
365,L,нейлон,фиолетовый,короткий,высокий
366,M,хлопок,синий,короткий,высокий
367,L,нейлон,чёрный,короткий,высокий
368,XL,лён,чёрный,длинный,средний
369,3XL,хлопок,жёлтый,короткий,средний
370,XXL,хлопок,жёлтый,короткий,средний
371,XS,хлопок,белый,короткий,высокий
372,M,нейлон,голубой,длинный,средний
373,S,хлопок,синий,длинный,высокий
374,3XL,нейлон,оранжевый,длинный,низкий
375,XS,нейлон,чёрный,короткий,средний
376,M,лён,красный,длинный,высокий
377,S,полиэстр,жёлтый,короткий,высокий
378,L,полиэстр,чёрный,короткий,высокий
379,3XL,хлопок,фиолетовый,короткий,средний
380,L,полиэстр,чёрный,длинный,высокий
381,L,хлопок,голубой,короткий,высокий
382,L,нейлон,кремовый,длинный,средний
383,XL,нейлон,чёрный,короткий,средний
384,XL,лён,синий,короткий,высокий
385,M,хлопок,белый,короткий,высокий
386,XS,хлопок,чёрный,длинный,средний
387,3XL,хлопок,голубой,короткий,средний
388,M,полиэстр,кремовый,длинный,средний
389,XXL,хлопок,красный,короткий,высокий
390,S,нейлон,жёлтый,короткий,высокий
391,L,нейлон,синий,короткий,высокий
392,L,лён,фиолетовый,длинный,высокий
393,XXL,полиэстр,голубой,длинный,средний
394,L,полиэстр,белый,длинный,высокий
395,S,полиэстр,синий,длинный,высокий
396,XL,полиэстр,голубой,длинный,средний
397,XXL,хлопок,фиолетовый,длинный,низкий
398,XXL,полиэстр,чёрный,длинный,средний
399,L,нейлон,фиолетовый,длинный,средний
400,XXL,шёлк,белый,короткий,низкий
401,L,полиэстр,чёрный,короткий,высокий
402,L,нейлон,оранжевый,длинный,средний
403,XL,хлопок,красный,длинный,средний
404,3XL,хлопок,оранжевый,короткий,средний
405,XXL,нейлон,кремовый,короткий,высокий
406,S,хлопок,жёлтый,длинный,средний
407,XXL,полиэстр,кремовый,короткий,высокий
408,XL,нейлон,синий,короткий,высокий
409,L,полиэстр,красный,короткий,высокий
410,S,нейлон,чёрный,короткий,средний
411,L,хлопок,синий,длинный,средний
412,M,хлопок,кремовый,короткий,высокий
413,L,хлопок,белый,короткий,высокий
414,L,лён,красный,длинный,высокий
415,M,нейлон,зелёный,короткий,высокий
416,M,нейлон,голубой,короткий,высокий
417,L,полиэстр,красный,длинный,средний
418,XL,нейлон,красный,короткий,высокий
419,L,лён,кремовый,длинный,высокий
420,M,нейлон,белый,длинный,средний
421,S,полиэстр,голубой,длинный,высокий
422,XS,нейлон,красный,длинный,высокий
423,S,полиэстр,голубой,короткий,высокий
424,M,полиэстр,кремовый,короткий,высокий
425,XL,лён,чёрный,длинный,средний
426,XL,шёлк,синий,длинный,низкий
427,XS,хлопок,жёлтый,длинный,средний
428,M,лён,жёлтый,короткий,высокий
429,S,лён,синий,короткий,высокий
430,XL,нейлон,голубой,короткий,высокий
431,XL,хлопок,синий,короткий,высокий
432,S,хлопок,чёрный,длинный,средний
433,XL,полиэстр,кремовый,короткий,высокий
434,S,полиэстр,жёлтый,длинный,высокий
435,S,лён,жёлтый,короткий,высокий
436,L,полиэстр,жёлтый,длинный,средний
437,L,нейлон,голубой,короткий,высокий
438,L,хлопок,белый,длинный,высокий
439,XXL,полиэстр,жёлтый,короткий,высокий
440,L,нейлон,чёрный,длинный,высокий
441,M,полиэстр,синий,короткий,высокий
442,L,лён,зелёный,короткий,высокий
443,S,нейлон,белый,длинный,средний
444,XL,полиэстр,кремовый,длинный,средний
445,S,хлопок,голубой,короткий,высокий
446,L,полиэстр,белый,длинный,высокий
447,XXL,нейлон,кремовый,длинный,средний
448,M,лён,голубой,длинный,высокий
449,L,нейлон,синий,короткий,высокий
450,M,хлопок,синий,длинный,средний
451,L,шёлк,жёлтый,длинный,низкий
452,3XL,хлопок,белый,короткий,средний
453,XS,нейлон,жёлтый,короткий,высокий
454,XL,полиэстр,зелёный,длинный,средний
455,XS,хлопок,оранжевый,длинный,средний
456,XL,хлопок,белый,короткий,средний
457,XXL,шёлк,оранжевый,длинный,низкий
458,XS,лён,чёрный,короткий,низкий
459,M,лён,кремовый,длинный,высокий
460,L,нейлон,кремовый,длинный,средний
461,XXL,лён,белый,длинный,средний
462,M,лён,красный,короткий,высокий
463,XL,хлопок,белый,длинный,средний
464,XL,нейлон,оранжевый,короткий,высокий
465,XXL,лён,красный,короткий,высокий
466,L,полиэстр,белый,длинный,высокий
467,L,хлопок,жёлтый,короткий,высокий
468,XXL,хлопок,красный,короткий,высокий
469,XXL,нейлон,красный,короткий,высокий
470,L,полиэстр,белый,короткий,высокий
471,L,нейлон,зелёный,короткий,высокий
472,XL,нейлон,красный,длинный,средний
473,S,полиэстр,кремовый,короткий,высокий
474,XL,полиэстр,оранжевый,короткий,высокий
475,S,хлопок,синий,длинный,высокий
476,L,нейлон,белый,длинный,высокий
477,XXL,нейлон,фиолетовый,короткий,высокий
478,XS,хлопок,кремовый,короткий,высокий
479,XL,нейлон,синий,длинный,средний
480,S,хлопок,белый,длинный,высокий
481,XXL,хлопок,кремовый,короткий,высокий
482,XXL,хлопок,зелёный,длинный,низкий
483,XL,лён,жёлтый,короткий,высокий
484,S,нейлон,зелёный,короткий,высокий
485,M,лён,оранжевый,длинный,средний
486,M,полиэстр,голубой,короткий,высокий
487,XS,полиэстр,синий,короткий,высокий
488,L,лён,белый,короткий,высокий
489,XL,хлопок,голубой,длинный,средний
490,XXL,полиэстр,голубой,короткий,высокий
491,XL,шёлк,синий,короткий,низкий
492,XL,хлопок,чёрный,короткий,средний
493,XXL,лён,белый,длинный,средний
494,XS,лён,кремовый,короткий,высокий
495,XL,полиэстр,фиолетовый,короткий,высокий
496,L,нейлон,белый,короткий,высокий
497,XL,нейлон,синий,короткий,высокий
498,XL,полиэстр,чёрный,длинный,средний
499,3XL,нейлон,белый,длинный,низкий
500,M,нейлон,голубой,короткий,высокий
501,XS,полиэстр,чёрный,короткий,средний
502,XXL,полиэстр,красный,длинный,средний
503,S,полиэстр,белый,длинный,средний
504,XXL,нейлон,белый,длинный,низкий
505,M,полиэстр,зелёный,короткий,высокий
506,3XL,полиэстр,чёрный,короткий,средний
507,M,лён,белый,короткий,высокий
508,S,хлопок,кремовый,короткий,высокий
509,L,нейлон,чёрный,короткий,высокий
510,S,лён,жёлтый,короткий,высокий
511,XS,нейлон,красный,длинный,высокий
512,M,полиэстр,синий,короткий,высокий
513,L,полиэстр,голубой,длинный,средний
514,3XL,нейлон,жёлтый,короткий,средний
515,XXL,шёлк,кремовый,длинный,низкий
516,S,полиэстр,голубой,короткий,высокий
517,L,хлопок,белый,длинный,высокий
518,M,хлопок,кремовый,короткий,высокий
519,L,нейлон,красный,короткий,высокий
520,XL,лён,кремовый,короткий,высокий
521,XL,хлопок,синий,короткий,высокий
522,L,хлопок,фиолетовый,длинный,средний
523,L,полиэстр,кремовый,короткий,высокий
524,L,лён,кремовый,короткий,высокий
525,L,нейлон,оранжевый,короткий,высокий
526,XL,нейлон,зелёный,короткий,высокий
527,XXL,нейлон,оранжевый,короткий,высокий
528,L,хлопок,красный,короткий,высокий
529,XL,лён,чёрный,длинный,средний
530,S,полиэстр,жёлтый,короткий,высокий
531,L,полиэстр,белый,длинный,высокий
532,3XL,полиэстр,белый,короткий,низкий
533,L,полиэстр,белый,длинный,высокий
534,L,полиэстр,голубой,длинный,средний
535,L,хлопок,чёрный,длинный,средний
536,XL,полиэстр,голубой,короткий,высокий
537,S,полиэстр,белый,длинный,средний
538,L,полиэстр,зелёный,длинный,средний
539,S,нейлон,фиолетовый,короткий,высокий
540,XS,хлопок,белый,длинный,высокий
541,XS,полиэстр,красный,короткий,высокий
542,3XL,хлопок,оранжевый,короткий,средний
543,3XL,полиэстр,красный,короткий,высокий
544,L,полиэстр,синий,короткий,высокий
545,M,хлопок,зелёный,короткий,высокий
546,XXL,полиэстр,зелёный,короткий,высокий
547,L,нейлон,фиолетовый,длинный,средний
548,L,хлопок,белый,короткий,высокий
549,XS,полиэстр,голубой,короткий,высокий
550,XL,нейлон,голубой,длинный,средний
551,L,нейлон,чёрный,короткий,высокий
552,XL,полиэстр,красный,короткий,высокий
553,XL,нейлон,голубой,короткий,высокий
554,3XL,лён,кремовый,короткий,высокий
555,XXL,хлопок,фиолетовый,короткий,средний
556,S,лён,белый,короткий,высокий
557,XXL,хлопок,зелёный,короткий,средний
558,XL,нейлон,белый,длинный,низкий
559,M,полиэстр,оранжевый,длинный,средний
560,XL,хлопок,белый,короткий,средний
561,3XL,нейлон,голубой,короткий,высокий
562,S,нейлон,жёлтый,длинный,высокий
563,L,полиэстр,чёрный,длинный,высокий
564,M,полиэстр,оранжевый,короткий,высокий
565,XS,лён,оранжевый,короткий,высокий
566,M,нейлон,голубой,длинный,средний
567,M,полиэстр,жёлтый,короткий,высокий
568,XXL,нейлон,красный,длинный,средний
569,XXL,хлопок,кремовый,короткий,высокий
570,3XL,нейлон,жёлтый,короткий,средний
571,L,полиэстр,синий,длинный,средний
572,L,хлопок,кремовый,короткий,высокий
573,M,нейлон,кремовый,длинный,средний
574,XS,шёлк,синий,длинный,средний
575,XXL,полиэстр,голубой,длинный,средний
576,XL,нейлон,жёлтый,короткий,высокий
577,XXL,нейлон,голубой,длинный,средний
578,L,нейлон,синий,короткий,высокий
579,XXL,полиэстр,белый,длинный,низкий
580,3XL,лён,синий,длинный,средний
581,M,нейлон,белый,длинный,средний
582,M,нейлон,синий,короткий,высокий
583,M,лён,чёрный,короткий,средний
584,XXL,полиэстр,белый,короткий,низкий
585,3XL,полиэстр,чёрный,длинный,средний
586,S,нейлон,синий,короткий,высокий
587,XL,хлопок,фиолетовый,короткий,высокий
588,L,полиэстр,чёрный,короткий,высокий
589,L,хлопок,синий,длинный,средний
590,XXL,лён,жёлтый,короткий,высокий
591,M,хлопок,синий,длинный,средний
592,M,лён,голубой,короткий,высокий
593,L,лён,голубой,короткий,высокий
594,L,лён,чёрный,короткий,средний
595,S,лён,кремовый,длинный,высокий
596,S,полиэстр,белый,длинный,средний
597,L,нейлон,жёлтый,длинный,средний
598,M,хлопок,белый,короткий,высокий
599,M,лён,голубой,длинный,высокий
600,3XL,нейлон,кремовый,короткий,высокий
601,L,полиэстр,синий,короткий,высокий
602,XS,нейлон,чёрный,короткий,средний
603,3XL,нейлон,красный,короткий,высокий
604,S,полиэстр,синий,короткий,высокий
605,XL,хлопок,чёрный,длинный,средний
606,XL,хлопок,зелёный,короткий,высокий
607,L,нейлон,белый,короткий,высокий
608,S,нейлон,голубой,длинный,высокий
609,XXL,полиэстр,белый,длинный,низкий
610,3XL,шёлк,белый,длинный,низкий
611,M,лён,красный,короткий,высокий
612,XXL,нейлон,чёрный,короткий,средний
613,L,полиэстр,жёлтый,длинный,средний
614,L,лён,кремовый,длинный,высокий
615,XXL,нейлон,белый,длинный,низкий
616,L,хлопок,чёрный,длинный,средний
617,M,нейлон,чёрный,короткий,средний
618,M,лён,синий,длинный,высокий
619,3XL,лён,кремовый,короткий,высокий
620,L,хлопок,белый,короткий,высокий
621,M,хлопок,белый,короткий,высокий
622,S,полиэстр,чёрный,короткий,средний
623,S,нейлон,жёлтый,короткий,высокий
624,XL,шёлк,белый,длинный,низкий
625,M,лён,белый,длинный,высокий
626,XL,шёлк,кремовый,длинный,низкий
627,L,нейлон,красный,длинный,средний
628,XXL,нейлон,синий,длинный,средний
629,M,полиэстр,фиолетовый,длинный,средний
630,3XL,полиэстр,белый,длинный,низкий
631,L,хлопок,чёрный,короткий,средний
632,L,нейлон,белый,длинный,высокий
633,L,нейлон,белый,длинный,высокий
634,S,лён,голубой,длинный,высокий
635,XXL,лён,кремовый,длинный,высокий
636,XXL,хлопок,красный,короткий,высокий
637,L,лён,белый,короткий,высокий
638,L,нейлон,красный,короткий,высокий
639,XL,нейлон,синий,длинный,средний
640,M,нейлон,кремовый,длинный,средний
641,L,полиэстр,белый,короткий,высокий
642,M,нейлон,белый,короткий,средний
643,XS,нейлон,красный,длинный,высокий
644,L,полиэстр,оранжевый,короткий,высокий
645,S,нейлон,чёрный,длинный,средний
646,L,нейлон,кремовый,короткий,высокий
